dataset,backbone,rule_strength,selected_strength,validation_objective,validation_recall_at_1,validation_recall_at_5,validation_recall_at_10,validation_recall_at_20,validation_mrr,validation_ndcg_at_5,validation_ndcg_at_10,validation_ndcg_at_20
nyc,A4,0.0,False,2.314653330209036,0.26142857142857145,0.505,0.5957142857142858,0.6478571428571429,0.3724432536946039,0.39149579080014635,0.4214252405681436,0.43458532872733574
nyc,A4,0.05,False,2.3204271466999393,0.2621428571428571,0.5057142857142857,0.5964285714285714,0.6478571428571429,0.3736080782061776,0.3925333542080476,0.4225306765558962,0.43557045790512267
nyc,A4,0.1,False,2.3128177083550145,0.25857142857142856,0.5121428571428571,0.5985714285714285,0.6478571428571429,0.3724881392908494,0.3939009976355939,0.42240391330706706,0.4348968502814658
nyc,A4,0.15000000000000002,False,2.315703036907288,0.25857142857142856,0.5135714285714286,0.6014285714285714,0.6478571428571429,0.37305627002431085,0.3947896240258345,0.4236543234340951,0.4354050993412079
nyc,A4,0.2,False,2.339633378498648,0.26142857142857145,0.5192857142857142,0.6035714285714285,0.6478571428571429,0.37580049845731084,0.3988328800413371,0.4264094876790581,0.4375931320431076
nyc,A4,0.25,False,2.335588722206422,0.2592857142857143,0.5228571428571429,0.6021428571428571,0.6478571428571429,0.37559384161042286,0.39999488059599936,0.42590838719726287,0.43757741874999007
nyc,A4,0.30000000000000004,False,2.3376053893913094,0.2592857142857143,0.5235714285714286,0.6064285714285714,0.6478571428571429,0.3763004568322692,0.4005906468447544,0.4276827907089597,0.4382083737051237
nyc,A4,0.35000000000000003,False,2.36452494417497,0.26357142857142857,0.5278571428571428,0.6064285714285714,0.6478571428571429,0.37857372552202945,0.40380836151008354,0.42940735374386757,0.4399545739069939
nyc,A4,0.4,False,2.356318198441411,0.26285714285714284,0.525,0.6064285714285714,0.6478571428571429,0.3777125305348946,0.40217709647794536,0.4287117917868727,0.43926529105544004
nyc,A4,0.45,False,2.387355649495516,0.26857142857142857,0.5271428571428571,0.6107142857142858,0.6478571428571429,0.3807858612228317,0.4051412168441127,0.4322182101434499,0.44159462012090905
nyc,A4,0.5,True,2.396630861780273,0.27071428571428574,0.5264285714285715,0.6085714285714285,0.6478571428571429,0.3817571200797053,0.40558802741485317,0.4323078878669406,0.4423061895388193
nyc,A4,0.55,False,2.376391690192498,0.26857142857142857,0.5192857142857142,0.6057142857142858,0.6478571428571429,0.38061199268142665,0.40220826893964307,0.4306539246003636,0.4414126456645916
nyc,A4,0.6000000000000001,False,2.3785499174882023,0.26857142857142857,0.5207142857142857,0.6035714285714285,0.6478571428571429,0.38063916087602623,0.4029107566121762,0.43008440415366717,0.44135733487086715
nyc,A4,0.65,False,2.3585172195129447,0.26571428571428574,0.5178571428571429,0.6007142857142858,0.6478571428571429,0.37788684580449405,0.3999160879941644,0.4271126960661743,0.43918021272076774
nyc,A4,0.7000000000000001,False,2.350344087992266,0.265,0.5157142857142857,0.6,0.6478571428571429,0.37638603455495434,0.39824376772302605,0.4257125429633685,0.4379128085387791
nyc,A4,0.75,False,2.327766274752571,0.26071428571428573,0.5164285714285715,0.5971428571428572,0.6478571428571429,0.3726436587584819,0.3958369017083749,0.4220145383983746,0.43494552672382775
nyc,A4,0.8,False,2.2820172828134164,0.25357142857142856,0.5107142857142857,0.5935714285714285,0.6478571428571429,0.3671531443126103,0.389864138500806,0.4167108094455031,0.4305989863793966
nyc,A4,0.8500000000000001,False,2.2600490264751008,0.25214285714285717,0.5028571428571429,0.5928571428571429,0.6478571428571429,0.3639354145480263,0.38468504049850316,0.41394535979211045,0.42798973414050734
nyc,A4,0.9,False,2.2315009944753843,0.24928571428571428,0.49642857142857144,0.5878571428571429,0.6478571428571429,0.35909751637808485,0.37883204952587096,0.40864935546492476,0.42402540534822397
nyc,A4,0.9500000000000001,False,2.176190750595236,0.24214285714285713,0.485,0.5857142857142857,0.6478571428571429,0.35252378752757024,0.37009553449623733,0.40289482261104426,0.41876727541360814
nyc,A4,1.0,False,2.122870908559534,0.2357142857142857,0.475,0.5807142857142857,0.6478571428571429,0.3442805623943075,0.36073320330808406,0.3949675710831558,0.41210475164427024
