dataset,backbone,rule_strength,selected_strength,validation_objective,validation_recall_at_1,validation_recall_at_5,validation_recall_at_10,validation_recall_at_20,validation_mrr,validation_ndcg_at_5,validation_ndcg_at_10,validation_ndcg_at_20
ca,R0,0.0,False,1.763723853304982,0.2017568716350241,0.37687730235194106,0.4420515726834797,0.512609804477189,0.2850745497090298,0.2947445147039148,0.31594649501441935,0.3338058240489271
ca,R0,0.05,False,1.769444565802006,0.2020402380277699,0.37914423349390763,0.4443185038254463,0.512609804477189,0.28598892295876105,0.29615045723825756,0.3172742046560879,0.3346085165891468
ca,R0,0.1,False,1.777659616884034,0.20260697081326154,0.38226126381411163,0.4465854349674129,0.512609804477189,0.28700464217075883,0.2979658276461175,0.31864701101746323,0.3354700434298051
ca,R0,0.15000000000000002,False,1.7760511805114112,0.2020402380277699,0.38226126381411163,0.44885236610937945,0.512609804477189,0.28745055649821594,0.29817840808800383,0.3196065120294989,0.33589792830991744
ca,R0,0.2,False,1.7916810653348196,0.2045905355624823,0.38367809577784073,0.45196939642958345,0.512609804477189,0.28949193807738566,0.30014888922966404,0.3220199717164296,0.33751037375090903
ca,R0,0.25,True,1.7978560728964317,0.20544063474071975,0.3845281949560782,0.45423632757155,0.512609804477189,0.2905169847420113,0.30104835423546317,0.3234310194581071,0.33838142093170714
ca,R0,0.30000000000000004,False,1.793983099842108,0.20402380277699064,0.38651175970529894,0.45423632757155,0.512609804477189,0.2900729528783928,0.30130317615045366,0.32312337137676433,0.3381298538256902
ca,R0,0.35000000000000003,False,1.7927086388186664,0.2031737035987532,0.3882119580617739,0.457353357891754,0.512609804477189,0.2900113446297877,0.3017905217320919,0.3239902374632746,0.3381468143862537
ca,R0,0.4,False,1.7919925741862026,0.203457069991499,0.38651175970529894,0.45905355624822897,0.512609804477189,0.2903554065124875,0.30129712800242026,0.324733859034659,0.3384534136554172
ca,R0,0.45,False,1.785553181860227,0.20232360442051572,0.38651175970529894,0.45990365542646644,0.512609804477189,0.28932939084867854,0.3004176136241867,0.3241967834048243,0.3376928180915325
ca,R0,0.5,False,1.7783315547635126,0.2006234060640408,0.3884953244545197,0.45933692264097475,0.512609804477189,0.2876008495001092,0.29974175655272045,0.3227133921695421,0.33639520621415625
ca,R0,0.55,False,1.7824129930671322,0.20119013884953243,0.3901955228109946,0.45905355624822897,0.512609804477189,0.28736349981356935,0.30009341504443854,0.3224488036451167,0.3361927981553264
ca,R0,0.6000000000000001,False,1.7580444458383628,0.1966562765655993,0.3887786908472655,0.4601870218192122,0.512609804477189,0.2848609775488292,0.29777967117987075,0.3209058371525082,0.33432608380621837
ca,R0,0.65,False,1.7295895722094379,0.19240578067441202,0.38367809577784073,0.45848682346273734,0.512609804477189,0.28225569137583295,0.29403266235811626,0.31842901167780974,0.3323179303592643
ca,R0,0.7000000000000001,False,1.706726777882877,0.18957211674695382,0.3780107679229243,0.45621989232077076,0.512609804477189,0.2799492174735062,0.29047832549863134,0.3159428710324856,0.3304643425311286
ca,R0,0.75,False,1.6792889267177658,0.18617172003400398,0.37234344006800796,0.45423632757155,0.512609804477189,0.27641196737857654,0.28584663913516534,0.31257681699828765,0.32764258428910564
ca,R0,0.8,False,1.6404587884321815,0.18022102578634175,0.3686596769623123,0.4545196939642958,0.512609804477189,0.2706292944940729,0.2802857138304293,0.30815599533665866,0.3231180107798618
ca,R0,0.8500000000000001,False,1.5950993042596198,0.17427033153867952,0.3610087843581751,0.45055256446585434,0.512609804477189,0.2641422151833769,0.27286697856334974,0.3019627561597726,0.3179295945710556
ca,R0,0.9,False,1.5384613135262901,0.16633607254179655,0.35165769339756303,0.4443185038254463,0.512609804477189,0.25704702725649986,0.26441230270504124,0.2947173803479595,0.3123019579795085
ca,R0,0.9500000000000001,False,1.4753567207636467,0.15783508075942193,0.34060640408047604,0.44375177103995467,0.512609804477189,0.24883734194348803,0.25457265170199495,0.2881172254257269,0.3057800624963397
ca,R0,1.0,False,1.4197644311609896,0.15018418815528478,0.33238877869084726,0.4363842448285633,0.512609804477189,0.24067386315197764,0.24596503669702557,0.27964657779875274,0.29918634276119743
