dataset,backbone,rule_strength,selected_strength,validation_objective,validation_recall_at_1,validation_recall_at_5,validation_recall_at_10,validation_recall_at_20,validation_mrr,validation_ndcg_at_5,validation_ndcg_at_10,validation_ndcg_at_20
tky,R0,0.0,False,2.0215764668126637,0.22655794991263833,0.44539895165987187,0.5345078625509609,0.6003203261502621,0.32793531668557224,0.34201039881666623,0.3708704927746216,0.3873882322546991
tky,R0,0.05,False,2.0270735884521813,0.226703552708212,0.44787419918462434,0.5342166569598136,0.6003203261502621,0.32888025562459716,0.34350492281011197,0.371512717591525,0.38821502491998555
tky,R0,0.1,False,2.0305427331043973,0.22684915550378568,0.4491846243447874,0.5345078625509609,0.6003203261502621,0.32954379382908333,0.34441769291538404,0.372083242212892,0.38879012952033454
tky,R0,0.15000000000000002,False,2.037507121177446,0.22830518345952241,0.4488934187536401,0.533197437390798,0.6003203261502621,0.3304454034719771,0.3449475651137392,0.37239368581204535,0.38948305486657026
tky,R0,0.2,True,2.0463884615981356,0.22976121141525918,0.4499126383226558,0.5333430401863716,0.6003203261502621,0.3313782955011511,0.346052682113292,0.37315820125138005,0.39019614371092953
tky,R0,0.25,False,2.039511065283174,0.2284507862550961,0.44976703552708214,0.5318870122306348,0.6003203261502621,0.33050099264574073,0.345439892089967,0.3720793225909225,0.3895015658753436
tky,R0,0.30000000000000004,False,2.033794788432225,0.22830518345952241,0.4467093768200349,0.5298485730926034,0.6003203261502621,0.3298678220099578,0.3439968557641428,0.37097268601843003,0.38891177291335827
tky,R0,0.35000000000000003,False,2.021415019385413,0.22684915550378568,0.4440885264997088,0.5269365171811299,0.6003203261502621,0.3280429971575155,0.34188687371304605,0.36868472477775566,0.3873967514627668
tky,R0,0.4,False,1.9974409515049631,0.22364589400116483,0.43957483983692486,0.523296447291788,0.6003203261502621,0.32501159792703677,0.3382709377363422,0.3652798588715812,0.3849133188394033
tky,R0,0.45,False,1.9649193107664085,0.21942341292952824,0.43331391962725685,0.5179091438555621,0.6003203261502621,0.32075012749436427,0.33316161192667443,0.36040847003387005,0.3814580192253951
tky,R0,0.5,False,1.9328757688158815,0.2168025626092021,0.4225393127548049,0.5138322655794991,0.6003203261502621,0.31663869267840455,0.3264875129458635,0.35593960355977516,0.3780405500526781
tky,R0,0.55,False,1.8985291047912205,0.2138905066977286,0.4120559114735003,0.5064065230052417,0.6003203261502621,0.3115420732490551,0.3193690932777509,0.3497515839463459,0.37376837093565524
tky,R0,0.6000000000000001,False,1.872109166162037,0.2119976703552708,0.40230052417006407,0.49970879440885263,0.6003203261502621,0.30805716772048697,0.31376079285040304,0.3450151403393839,0.370765885104196
tky,R0,0.65,False,1.8537512482054428,0.21112405358182876,0.39487478159580663,0.4922830518345952,0.6003203261502621,0.30511270715519634,0.30926754512712495,0.3405071994258071,0.3681995122777279
tky,R0,0.7000000000000001,False,1.8366704603674728,0.20966802562609202,0.38963308095515437,0.4898078043098428,0.6003203261502621,0.3026189058601952,0.30574637104775526,0.33779416661399164,0.3660897663253347
tky,R0,0.75,False,1.8190420140502508,0.2080663948747816,0.38380896913220736,0.48645894001164824,0.6003203261502621,0.30057314885391884,0.3023943165649984,0.3352082052885572,0.3643578821641731
tky,R0,0.8,False,1.8049770615595633,0.20602795573675015,0.38191613278974956,0.481654047757717,0.6003203261502621,0.2985358302096153,0.30041327561319775,0.3322774062240508,0.36266677595408703
tky,R0,0.8500000000000001,False,1.7943122634156976,0.20486313337216075,0.37958648806057077,0.4774315666860804,0.6003203261502621,0.29678682312522364,0.2984864187412601,0.3297089951370198,0.36119167123741613
tky,R0,0.9,False,1.7779030929771584,0.20267909143855561,0.3765288293535236,0.47641234711706465,0.6003203261502621,0.29467287402628356,0.2959850238431287,0.327790014954912,0.3594670964975628
tky,R0,0.9500000000000001,False,1.7324813501479839,0.1945253348864298,0.37449039021549213,0.47291788002329643,0.6003203261502621,0.288835475062024,0.2910541453247487,0.3224073948357223,0.35494819042103914
tky,R0,1.0,False,1.6546445890325951,0.18200349446709377,0.36750145602795575,0.46825859056493885,0.6003203261502621,0.2782913425280546,0.28083781260820967,0.31300806644845913,0.3466973644022112
